step	mse
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
0	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
1	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
2	28.699005
3	28.699005
