step	r2
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
0	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
1	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
2	-4.608251205762404
