step	mae
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
0	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
1	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
2	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
3	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
4	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
5	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
6	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
7	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
8	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
9	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
10	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
11	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
12	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
13	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
14	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
15	4.8561015
